"","query","ambiguous"
520,"\W!x{a\w+\W\w+ence}\W",1
521,"\W!x{a\w+\W\w+ness}\W",1
522,"\W!x{\w+er\Wdi\w+}\W",1
523,"\W!x{a\w+\Wen\w+}\W",1
524,"\W!x{con\w+\Wa\w+}\W",1
525,"\W!x{co\w+\Wa\w+}\W",1
526,"\W!x{an\w+\W\w+ion}\W",1
527,"\W!x{be\w+\W\w+er}\W",1
528,"\W!x{an\w+\Wen\w+}\W",1
529,"\W!x{\w+ly\Wde\w+}\W",1
530,"\W!x{a\w+\Wex\w+}\W",1
531,"\W!x{a\w+\W\w+geo?\w+}\W",1
532,"\W!x{be\w+\Wan\w+}\W",1
533,"\W!x{\w+er\Wan\w+}\W",1
534,"\W!x{in\w+\Wa\w+}\W",1
535,"\W!x{an\w+\Wpre\w+}\W",1
536,"\W!x{co\w+\W\w+er}\W",1
537,"\W!x{a\w+\Wdis\w+}\W",1
538,"\W!x{a\w+\Wdi\w+}\W",1
539,"\W!x{de\w+\Wan\w+}\W",1
540,"\W!x{an\w+\W\w+able}\W",1
541,"\W!x{an\w+\Wde\w+}\W",1
542,"\W!x{a\w+\W\w+ance}\W",1
543,"\W!x{an\w+\Wbe\w+}\W",1
